Threads,SequentialTime,ParallelTime,Speedup,Efficiency
1,0.000217,0.000918,0.24,23.63
2,0.000217,0.000490,0.44,22.12
3,0.000217,0.001461,0.15,4.95
4,0.000217,0.000818,0.26,6.62
